[2025-09-11 17:02:06,837: INFO: main: stage Data Transformation stage initiated]
[2025-09-11 17:02:06,838: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 17:02:06,839: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 17:02:06,839: INFO: commons: created a directory at: artifacts]
[2025-09-11 17:02:06,839: INFO: commons: created a directory at: artifacts/data_transformation]
[2025-09-11 17:02:08,871: INFO: main: Data Transformation stage complete.]
[2025-09-11 17:02:17,006: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 17:02:17,021: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 17:02:17,023: INFO: commons: created a directory at: artifacts]
[2025-09-11 17:02:17,029: INFO: commons: created a directory at: artifacts/model_trainer]
[2025-09-11 17:05:43,538: INFO: main: stage Data Ingestion stage initiated]
[2025-09-11 17:05:43,540: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 17:05:43,540: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 17:05:43,540: INFO: commons: created a directory at: artifacts]
[2025-09-11 17:05:43,541: INFO: commons: created a directory at: artifacts/data_ingestion]
[2025-09-11 17:05:43,541: INFO: data_ingestion: File already exists]
[2025-09-11 17:05:43,609: INFO: data_ingestion: Extracted zip file to artifacts/data_ingestion]
[2025-09-11 17:05:43,609: INFO: main: Data Ingestion stage complete.]
[2025-09-11 17:05:43,609: INFO: main: stage Data Transformation stage initiated]
[2025-09-11 17:05:43,610: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 17:05:43,611: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 17:05:43,611: INFO: commons: created a directory at: artifacts]
[2025-09-11 17:05:43,611: INFO: commons: created a directory at: artifacts/data_transformation]
[2025-09-11 17:05:45,473: INFO: main: Data Transformation stage complete.]
[2025-09-11 17:06:23,710: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 17:06:23,717: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 17:06:23,721: INFO: commons: created a directory at: artifacts]
[2025-09-11 17:06:23,722: INFO: commons: created a directory at: artifacts/model_trainer]
[2025-09-11 17:15:41,021: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 17:15:41,052: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 17:15:41,054: INFO: commons: created a directory at: artifacts]
[2025-09-11 17:15:41,059: INFO: commons: created a directory at: artifacts/model_trainer]
[2025-09-11 17:15:55,769: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 17:15:55,772: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 17:15:55,773: INFO: commons: created a directory at: artifacts]
[2025-09-11 17:15:55,774: INFO: commons: created a directory at: artifacts/model_trainer]
[2025-09-11 17:20:23,137: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 17:20:23,144: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 17:20:23,145: INFO: commons: created a directory at: artifacts]
[2025-09-11 17:20:23,147: INFO: commons: created a directory at: artifacts/model_trainer]
[2025-09-11 17:21:57,500: INFO: main: stage Data Ingestion stage initiated]
[2025-09-11 17:21:57,501: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 17:21:57,502: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 17:21:57,502: INFO: commons: created a directory at: artifacts]
[2025-09-11 17:21:57,502: INFO: commons: created a directory at: artifacts/data_ingestion]
[2025-09-11 17:21:57,502: INFO: data_ingestion: File already exists]
[2025-09-11 17:21:57,582: INFO: data_ingestion: Extracted zip file to artifacts/data_ingestion]
[2025-09-11 17:21:57,582: INFO: main: Data Ingestion stage complete.]
[2025-09-11 17:21:57,582: INFO: main: stage Data Transformation stage initiated]
[2025-09-11 17:21:57,583: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 17:21:57,584: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 17:21:57,584: INFO: commons: created a directory at: artifacts]
[2025-09-11 17:21:57,584: INFO: commons: created a directory at: artifacts/data_transformation]
